Latest Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,`Main.Time.Day[1]`,`Main.DancerAngle.deg`,`Main.NR1.w`,`Main.NR1_Velocity.'m/s'[1]`,`Main.NR2.w`,`Main.NR2_Velocity.'m/s'[1]`,`Main.PistonPressure.Pa`,`Main.WS1.vout`,`Main.WS2.v`,`Main.WS1.Tin`,`Main.WS2.T`,`Main.R1.summary_SlipVelocity`,`Main.R2.summary_SlipVelocity`,`Main.R3.summary_SlipVelocity`,`Main.R4.summary_SlipVelocity`,`Main.R5.summary_SlipVelocity`,`Main.R7.summary_SlipVelocity`,`Main.R8.summary_SlipVelocity`,`Main.R9.summary_SlipVelocity`,`Main.R10.summary_SlipVelocity`,`Main.R1.w`,`Main.R2.w`,`Main.R3.w`,`Main.R4.w`,`Main.R5.w`,`Main.R7.w`,`Main.R8.w`,`Main.R9.w`,`Main.R10.w`,`Main.S1.summary_Tension`,`Main.S2.summary_Tension`,`Main.S3.summary_Tension`,`Main.S4.summary_Tension`,`Main.S5.summary_Tension`,`Main.S6.summary_Tension`,`Main.S7.summary_Tension`,`Main.S8.summary_Tension`,`Main.S9.summary_Tension`,`Main.S10.summary_Tension`,`Main.S11.summary_Tension`,`Main.S12.summary_Tension`
32416.2081,0.375187594,6.94847E-15,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,-2.22045E-16,-2.22045E-16,0,0,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
33712.85643,0.390195098,-2.08252E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,-2.22045E-16,-2.22045E-16,0,0,2.22045E-16,2.22045E-16,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
35009.50475,0.405202601,-2.59575E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
36306.15308,0.420210105,-5.13948E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,1.11022E-16,1.11022E-16,1.11022E-16,0,0,-4.44089E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
37602.8014,0.435217609,-5.484E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
38899.44972,0.450225113,-5.83474E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,3.33067E-16,-6.66134E-16,-6.66134E-16,-6.66134E-16,-6.66134E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
40196.09805,0.465232616,1.43497E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-3.33067E-16,-3.33067E-16,-1.11022E-16,0,0,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
41492.74637,0.48024012,-2.88247E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
42789.3947,0.495247624,1.2103E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,0,0,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
44086.04302,0.510255128,-3.66168E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
45382.69135,0.525262631,-2.35964E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-1.11022E-16,-1.11022E-16,0,0,1.11022E-16,-2.22045E-16,-2.22045E-16,-4.44089E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
46679.33967,0.540270135,-9.02578E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
47975.98799,0.555277639,-1.70839E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,2.22045E-16,2.22045E-16,2.22045E-16,-4.44089E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
49272.63632,0.570285143,-2.06505E-13,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,-1.11022E-16,-1.11022E-16,-1.11022E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
50569.28464,0.585292646,-1.84022E-13,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-4.44089E-16,0,0,-4.44089E-16,-4.44089E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
51865.93297,0.60030015,-1.31238E-13,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,-5.55112E-16,-5.55112E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
53162.58129,0.615307654,-9.54894E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,2.22045E-16,2.22045E-16,0,0,-4.44089E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
54459.22961,0.630315158,-2.71554E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,0,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
55755.87794,0.645322661,6.1679E-15,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-1.11022E-16,-3.33067E-16,-5.55112E-16,-5.55112E-16,-5.55112E-16,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
57052.52626,0.660330165,3.68397E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-5.55112E-16,-4.44089E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,4.44089E-16,4.44089E-16,2.22045E-16,4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
58349.17459,0.675337669,1.69872E-13,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-1.11022E-16,-1.11022E-16,-1.11022E-16,-1.11022E-16,-1.11022E-16,6.66134E-16,6.66134E-16,6.66134E-16,6.66134E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
59645.82291,0.690345173,-5.46076E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
60942.47124,0.705352676,-1.07677E-13,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,2.22045E-16,2.22045E-16,0,2.22045E-16,2.22045E-16,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
62239.11956,0.72036018,4.53488E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
63535.76788,0.735367684,-2.91978E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,2.22045E-16,2.22045E-16,0,0,0,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
64832.41621,0.750375188,-3.35067E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-3.33067E-16,-3.33067E-16,-5.55112E-16,-5.55112E-16,-5.55112E-16,0,0,0,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
66129.06453,0.765382691,-6.68711E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
67425.71286,0.780390195,4.10126E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,0,-2.22045E-16,-1.11022E-16,-1.11022E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
68722.36118,0.795397699,-7.04506E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
70019.0095,0.810405203,5.41645E-16,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
